date,Actual,Predicted,Difference
2024-08-01,204100,201589.83,2510.170000000013
2024-08-01,567500,564767.81,2732.189999999944
2024-08-01,318000,317787.33,212.6699999999837
2024-08-01,438800,436681.98,2118.0200000000186
2024-08-01,287000,293406.89,-6406.890000000014
2024-08-01,405600,408500.06,-2900.0599999999977
2024-08-01,368800,370061.31,-1261.3099999999977
2024-08-01,240600,240947.81,-347.8099999999977
2024-08-01,551700,548068.64,3631.359999999986
2024-08-01,498700,499552.82,-852.820000000007
2024-08-01,361300,362108.33,-808.3300000000163
2024-08-01,227200,226886.67,313.3299999999872
2024-08-01,508700,508902.47,-202.46999999997206
2024-08-01,314700,314581.61,118.39000000001397
2024-08-01,398000,397657.61,342.39000000001397
2024-08-01,335500,335265.54,234.46000000002095
2024-08-01,613000,608892.33,4107.670000000042
2024-08-01,244400,246053.9,-1653.8999999999942
2024-08-01,267600,217861.33,49738.67000000001
2024-08-01,678600,711787.0,-33187.0
2024-08-01,428300,428266.21,33.789999999979045
2024-08-01,376700,371822.97,4877.030000000028
2024-08-01,360200,351218.17,8981.830000000016
2024-08-01,465900,473537.08,-7637.080000000016
2024-08-01,260000,258651.67,1348.3299999999872
2024-08-01,785500,748210.33,37289.67000000004
2024-08-01,835000,825908.23,9091.770000000019
2024-08-01,268600,268037.91,562.0900000000256
2024-08-01,504600,499938.92,4661.080000000016
2024-08-01,555700,556417.0,-717.0
2024-08-01,250000,249853.47,146.52999999999884
2024-08-01,563500,569069.88,-5569.880000000005
2024-08-01,279600,278517.04,1082.960000000021
2024-08-01,1300000,1136294.0,163706.0
2024-08-01,403400,403824.73,-424.7299999999814
2024-08-01,279500,278195.17,1304.8300000000163
2024-08-01,335700,335530.2,169.79999999998836
2024-08-01,210400,210728.83,-328.8299999999872
2024-08-01,479100,480364.27,-1264.2700000000186
2024-08-01,152300,152692.08,-392.0799999999872
2024-08-01,309300,308974.09,325.9099999999744
2024-08-01,456600,460520.67,-3920.6699999999837
2024-08-01,311600,311744.28,-144.28000000002794
2024-08-01,449500,452373.14,-2873.140000000014
2024-08-01,242100,241457.64,642.359999999986
2024-08-01,244800,244142.6,657.3999999999942
2024-08-01,565300,569718.07,-4418.069999999949
2024-08-01,184700,185004.0,-304.0
2024-08-01,579800,577693.85,2106.1500000000233
2024-08-01,296600,296649.76,-49.76000000000931
2024-08-01,410000,411257.97,-1257.969999999972
2024-08-01,232300,231968.68,331.320000000007
2024-08-01,395300,393126.85,2173.1500000000233
2024-08-01,282800,282371.56,428.4400000000023
2024-08-01,413500,411471.17,2028.8300000000163
2024-08-01,409500,407677.29,1822.710000000021
2024-08-01,436800,437589.98,-789.9799999999814
2024-08-01,431100,430742.4,357.5999999999767
2024-08-01,376800,374307.67,2492.3300000000163
2024-08-01,367500,360815.94,6684.059999999998
2024-08-01,329500,328793.57,706.429999999993
2024-08-01,2200000,1558970.33,641029.6699999999
2024-08-01,367700,376840.0,-9140.0
2024-08-01,650000,651818.67,-1818.670000000042
2024-08-01,214200,212972.67,1227.3299999999872
2024-08-01,464900,468186.33,-3286.3300000000163
2024-08-01,437600,442870.17,-5270.169999999984
2024-08-01,304800,305892.28,-1092.280000000028
2024-08-01,650900,647203.67,3696.329999999958
2024-08-01,271000,273302.19,-2302.1900000000023
2024-08-01,643600,641354.45,2245.5500000000466
2024-08-01,243900,243414.33,485.6700000000128
2024-08-01,283300,284505.0,-1205.0
2024-08-01,523500,521587.5,1912.5
2024-08-01,332400,328271.31,4128.690000000002
