date,median_sale_price
2023-11-01,223300
2023-11-01,333300
2023-11-01,358000
2023-11-01,544000
2023-11-01,458200
2023-11-01,357500
2023-11-01,437100
2023-11-01,243800
2023-11-01,278000
2023-11-01,373300
2023-11-01,339100
2023-11-01,223200
2023-11-01,79800
2023-11-01,234900
2023-11-01,1002500
2023-11-01,247700
2023-11-01,423800
2023-12-01,210600
2023-12-01,377700
2023-12-01,1100000
2023-12-01,378700
2023-12-01,607100
2023-12-01,366400
2023-12-01,240100
2023-12-01,425600
2023-12-01,334500
2023-12-01,318300
2023-12-01,492100
2023-12-01,285400
2023-12-01,513700
2023-12-01,810600
2023-12-01,257700
2023-12-01,280900
2023-12-01,94300
2023-12-01,489300
2023-12-01,347100
2023-12-01,206400
2023-12-01,338400
2023-12-01,153100
2023-12-01,351800
2023-12-01,779200
2023-12-01,484400
2023-12-01,536700
2023-12-01,1074100
2023-12-01,233600
2023-12-01,236800
2023-12-01,788500
2023-12-01,506600
2023-12-01,215600
2023-12-01,435300
2023-12-01,396300
2023-12-01,366700
2023-12-01,267500
2023-12-01,431500
2023-12-01,147400
2023-12-01,356100
2023-12-01,247600
2023-12-01,597900
2023-12-01,192600
2023-12-01,238700
2023-12-01,299900
2023-12-01,513700
2023-12-01,373400
2023-12-01,345200
2023-12-01,675000
2023-12-01,607100
2023-12-01,251300
2023-12-01,423000
2023-12-01,330700
2023-12-01,330100
2023-12-01,423600
2023-12-01,231600
2023-12-01,334800
2023-12-01,207000
2023-12-01,220000
2023-12-01,249000
2023-12-01,320500
2023-12-01,279400
2023-12-01,226100
2023-12-01,496400
2023-12-01,211500
2023-12-01,417300
2023-12-01,195300
2023-12-01,596400
2023-12-01,484800
2023-12-01,236200
2023-12-01,263400
2023-12-01,356000
2023-12-01,370900
2023-12-01,325300
2023-12-01,296100
2023-12-01,221600
2023-12-01,826500
2023-12-01,584300
2023-12-01,758700
2023-12-01,237500
2023-12-01,464000
2023-12-01,363700
2023-12-01,306000
2023-12-01,340500
2023-12-01,652900
2023-12-01,252400
2023-12-01,248000
2023-12-01,365300
2023-12-01,324100
2023-12-01,268000
2023-12-01,428900
2023-12-01,593800
2023-12-01,252000
2023-12-01,261200
2023-12-01,359600
2023-12-01,212500
2023-12-01,381000
2023-12-01,228700
2023-12-01,196600
2023-12-01,214500
2023-12-01,492500
2023-12-01,209800
2023-12-01,225900
2023-12-01,30000
2023-12-01,464900
2023-12-01,587600
2023-12-01,249300
2023-12-01,371800
2023-12-01,310200
2023-12-01,614000
2023-12-01,283300
2023-12-01,239400
2023-12-01,460900
2023-12-01,191400
2023-12-01,390800
2023-12-01,441000
2023-12-01,255600
2023-12-01,250100
2023-12-01,241300
2023-12-01,353800
2023-12-01,425100
2023-12-01,217200
2023-12-01,551500
2023-12-01,360900
2023-12-01,297600
2023-12-01,259500
2023-12-01,255800
2023-12-01,194600
2023-12-01,587400
2023-12-01,253300
2023-12-01,238500
2023-12-01,553100
2023-12-01,430400
2023-12-01,505700
2023-12-01,545500
2023-12-01,253500
2023-12-01,380100
2023-12-01,667100
2023-12-01,241100
2023-12-01,211000
2023-12-01,164900
2023-12-01,284600
2023-12-01,256000
2023-12-01,226300
2023-12-01,337700
2023-12-01,326100
2023-12-01,756500
2023-12-01,314800
2023-12-01,506000
2023-12-01,289000
2023-12-01,444300
2023-12-01,243900
2023-12-01,488100
2023-12-01,233200
2023-12-01,425000
2023-12-01,413500
2023-12-01,345300
2023-12-01,273200
2023-12-01,256900
2023-12-01,263800
2023-12-01,171500
2023-12-01,399300
2023-12-01,322000
2023-12-01,220500
2023-12-01,450500
2023-12-01,465500
2023-12-01,418300
2023-12-01,444000
2023-12-01,369600
2023-12-01,505000
2023-12-01,504200
2023-12-01,239000
2023-12-01,243900
2023-12-01,466800
2023-12-01,446100
2023-12-01,452700
2023-12-01,230600
2023-12-01,127700
2023-12-01,224800
2023-12-01,434900
2023-12-01,484900
2023-12-01,389700
2023-12-01,671000
2023-12-01,563200
2023-12-01,265800
2023-12-01,420400
2023-12-01,491100
2023-12-01,573500
2023-12-01,480500
2023-12-01,281700
2023-12-01,1005800
2023-12-01,378000
2023-12-01,276400
2023-12-01,298600
2023-12-01,599000
2023-12-01,356700
2023-12-01,240400
2023-12-01,219600
2023-12-01,331400
2023-12-01,615700
2023-12-01,332100
2023-12-01,151500
2023-12-01,451900
2023-12-01,583300
2023-12-01,577300
2023-12-01,660400
2023-12-01,275600
2023-12-01,430700
2023-12-01,600000
2023-12-01,316500
2023-12-01,888800
2023-12-01,274500
2023-12-01,248400
2023-12-01,451700
2023-12-01,788100
2023-12-01,505600
2023-12-01,236300
2023-12-01,302400
2023-12-01,185800
2023-12-01,607300
2023-12-01,388400
2023-12-01,348300
2023-12-01,511500
2023-12-01,271500
2023-12-01,408600
2023-12-01,284100
2023-12-01,224100
2023-12-01,346800
2023-12-01,234500
2023-12-01,201400
2023-12-01,404300
2023-12-01,935000
2023-12-01,364800
2023-12-01,363200
2023-12-01,932100
2023-12-01,275200
2023-12-01,366900
2023-12-01,368100
2023-12-01,246100
2023-12-01,275700
2023-12-01,389300
2023-12-01,243400
2023-12-01,342200
2023-12-01,350400
2023-12-01,237700
2023-12-01,269900
2023-12-01,228600
2023-12-01,213500
2023-12-01,445500
2023-12-01,374500
2023-12-01,258800
2023-12-01,400600
2024-02-01,499200
2024-02-01,275000
2024-02-01,538100
2024-02-01,458200
2024-02-01,212700
2024-02-01,236900
2024-02-01,283800
2024-02-01,381000
2024-02-01,279100
2024-02-01,294500
2024-02-01,419100
2024-02-01,240200
2024-02-01,261000
2024-02-01,375400
2024-02-01,122200
2024-02-01,599800
2024-02-01,374200
2024-02-01,313600
2024-02-01,535500
2024-02-01,292200
2024-02-01,214400
2024-02-01,440000
2024-02-01,631700
2024-02-01,352500
2024-02-01,360000
2024-02-01,280600
2024-02-01,270200
2024-02-01,62500
2024-02-01,244200
2024-02-01,512800
2024-02-01,395500
2024-02-01,213800
2024-02-01,332800
2024-02-01,642400
2024-02-01,355000
2024-02-01,255000
2024-02-01,234800
2024-02-01,580800
2024-02-01,166600
2024-02-01,496700
2024-02-01,407600
2024-02-01,433500
2024-02-01,354900
2024-02-01,398400
2024-02-01,266700
2024-02-01,325100
2024-02-01,502300
2024-02-01,463700
2024-02-01,234600
2024-02-01,294000
2024-02-01,230100
2024-02-01,118300
2024-02-01,361400
2024-02-01,269300
2024-02-01,304200
2024-02-01,253300
2024-02-01,237700
2024-02-01,361300
2024-02-01,307900
2024-02-01,238200
2024-02-01,378200
2024-02-01,270700
2024-02-01,542800
2024-02-01,281100
2024-02-01,456300
2024-02-01,326400
2024-02-01,236900
2024-02-01,475400
2024-02-01,477400
2024-02-01,263100
2024-02-01,642100
2024-02-01,470600
2024-02-01,735000
